key_id,old_judge_id,judge_id,full_name,first_name,last_name,last_name_latin,member_state_id,member_state,member_state_code,birth_year,gender_id,gender,female,judge_court_of_justice,judge_general_court,judge_civil_service_tribunal,advocate_general,count_positions,status,non_consecutive,start_date,end_date,start_date_court_of_justice,end_date_court_of_justice,start_date_general_court,end_date_general_court,start_date_civil_service_tribunal,end_date_civil_service_tribunal,start_date_advocate_general,end_date_advocate_general
105,1403,803,Thomas Francis O'Higgins,Thomas Francis,O'Higgins,O'Higgins,8,Ireland,IE,1913,2,Male,0,1,0,0,0,1,Former CJ judge,0,1985-01-16,1991-10-06,1985-01-16,1991-10-06,,,,,,
106,1404,804,Donal Patrick Michael Barrington,Donal Patrick Michael,Barrington,Barrington,8,Ireland,IE,1928,2,Male,0,0,1,0,0,1,Former GC judge,0,1989-09-01,1996-01-10,,,1989-09-01,1996-01-10,,,,
107,1405,805,John Murray,John,Murray,Murray,8,Ireland,IE,1943,2,Male,0,1,0,0,0,1,Former CJ judge,0,1991-10-07,1999-10-09,1991-10-07,1999-10-09,,,,,,
108,1414,806,Nial Fennelly,Nial,Fennelly,Fennelly,8,Ireland,IE,1942,2,Male,0,0,0,0,1,1,Former AG,0,1995-01-19,2000-10-06,,,,,,,1995-01-19,2000-10-06
109,1406,807,John Cooke,John,Cooke,Cooke,8,Ireland,IE,1944,2,Male,0,0,1,0,0,1,Former GC judge,0,1996-01-10,2008-09-15,,,1996-01-10,2008-09-15,,,,
110,1407,808,Fidelma O'Kelly Macken,Fidelma,O'Kelly Macken,O'Kelly Macken,8,Ireland,IE,1942,1,Female,1,1,0,0,0,1,Former CJ judge,0,1999-10-06,2004-10-13,1999-10-06,2004-10-13,,,,,,
111,1408,809,Aindrias Ó Caoimh,Aindrias,Ó Caoimh,O Caoimh,8,Ireland,IE,1950,2,Male,0,1,0,0,0,1,Former CJ judge,0,2004-10-13,2015-10-06,2004-10-13,2015-10-06,,,,,,
112,1409,810,Kevin O'Higgins,Kevin,O'Higgins,O'Higgins,8,Ireland,IE,1946,2,Male,0,0,1,0,0,1,Former GC judge,0,2008-09-15,2013-08-31,,,2008-09-15,2013-08-31,,,,
113,1415,811,Kieran Bradley,Kieran,Bradley,Bradley,8,Ireland,IE,1957,2,Male,0,0,0,1,0,1,Former CST judge,0,2011-10-06,2016-08-31,,,,,2011-10-06,2016-08-31,,
114,1410,812,Anthony Michael Collins,Anthony Michael,Collins,Collins,8,Ireland,IE,1960,2,Male,0,0,1,0,1,2,Current AG; Former GC judge,0,2013-09-16,present,,,2013-09-16,2021-10-07,,,2021-10-07,present
