key_id,court,first_name,last_name,last_name_latin,member_state,item_text,type_education,type_job,type_other,job_lawyer,job_academic,job_politician,job_judge,job_civil_servant,job_other,court_lower,court_high,court_cjeu,court_international,common_law_university
127,Court of Justice,Nuno José,Cardoso da Silva Piçarra,Cardoso da Silva Picarra,Portugal,"Visiting Professor at the Europa-Institut, Saarland University, Germany (1987-96)",0,1,0,0,1,0,0,0,0,0,0,0,0,0
128,Court of Justice,Nuno José,Cardoso da Silva Piçarra,Cardoso da Silva Picarra,Portugal,"National coordinator for matters concerning free movement of persons in the European area, Ministry of Foreign Affairs, Portugal (1996-99)",0,1,0,0,0,0,0,1,0,0,0,0,0,0
129,Court of Justice,Nuno José,Cardoso da Silva Piçarra,Cardoso da Silva Picarra,Portugal,member of the K4 Committee of the Council and of the Central Group of the permanent consultation structure of the Schengen agreements (1996-99),0,1,0,0,0,0,0,1,0,0,0,0,0,0
130,Court of Justice,Nuno José,Cardoso da Silva Piçarra,Cardoso da Silva Picarra,Portugal,Lecturer and doctoral student at the New University of Lisbon (1999-2003),0,1,0,0,1,0,0,0,0,0,0,0,0,0
131,Court of Justice,Nuno José,Cardoso da Silva Piçarra,Cardoso da Silva Picarra,Portugal,Assistant Professor of Law at the New University of Lisbon (2003-08),0,1,0,0,1,0,0,0,0,0,0,0,0,0
132,Court of Justice,Nuno José,Cardoso da Silva Piçarra,Cardoso da Silva Picarra,Portugal,Associate Professor of Law at the New University of Lisbon (2008-18),0,1,0,0,1,0,0,0,0,0,0,0,0,0
133,Court of Justice,Nuno José,Cardoso da Silva Piçarra,Cardoso da Silva Picarra,Portugal,Portuguese member of the FreSsco network of independent experts in the fields of free movement of workers and social security coordination within the European Union (2004-17) and of the Odysseus academic network for legal studies on immigration and asylum in Europe (2004-18),0,1,0,0,0,0,0,0,1,0,0,0,0,0
134,Court of Justice,Nuno José,Cardoso da Silva Piçarra,Cardoso da Silva Picarra,Portugal,member of the Management Board of the European Union Agency for Fundamental Rights (2015-18),0,1,0,0,0,0,0,1,0,0,0,0,0,0
135,Court of Justice,Nuno José,Cardoso da Silva Piçarra,Cardoso da Silva Picarra,Portugal,author of numerous publications,0,1,0,0,1,0,0,0,0,0,0,0,0,0
136,Court of Justice,Nuno José,Cardoso da Silva Piçarra,Cardoso da Silva Picarra,Portugal,Judge at the Court of Justice since 8 October 2018,0,1,0,0,0,0,1,0,0,0,0,1,0,0
137,Court of Justice,Andreas,Kumin,Kumin,Austria,"graduated in law and Doctor of Laws at the University of Graz, Austria (1990)",1,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Court of Justice,Andreas,Kumin,Kumin,Austria,diploma in translation at the University of Graz (1988),1,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Court of Justice,Andreas,Kumin,Kumin,Austria,"diploma in public administration at the École nationale d’administration, France (1992)",1,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Court of Justice,Andreas,Kumin,Kumin,Austria,"official in the Legal Service and in the Directorate General for European and Economic Integration Policy of the Ministry of Foreign Affairs, Austria (1990-94)",0,1,0,0,0,0,0,1,0,0,0,0,0,0
