"key_id","judge_id","full_name","first_name","last_name","last_name_latin","last_name_label","last_name_latin_label","member_state_id","member_state","member_state_code","birth_year","gender_id","gender","female","judge_court_of_justice","judge_general_court","judge_civil_service_tribunal","advocate_general","current_status","current_member","count_positions","nonconsecutive_positions","start_date","end_date","start_date_court_of_justice","end_date_court_of_justice","start_date_general_court","end_date_general_court","start_date_civil_service_tribunal","end_date_civil_service_tribunal","start_date_advocate_general","end_date_advocate_general"
34,"J:0303","Walter Strauss","Walter","Strauss","Strauss","Strauss","Strauss",3,"Germany","DE",1900,2,"Male",0,1,0,0,0,"Former CJ judge",0,1,0,1963-02-06,1970-10-06,1963-02-06,1970-10-06,NA,NA,NA,NA,NA,NA
35,"J:0304","Hans Kutscher","Hans","Kutscher","Kutscher","Kutscher","Kutscher",3,"Germany","DE",1911,2,"Male",0,1,0,0,0,"Former CJ judge",0,1,0,1970-10-07,1980-10-30,1970-10-07,1980-10-30,NA,NA,NA,NA,NA,NA
36,"J:0305","Gerhard Reischl","Gerhard","Reischl","Reischl","Reischl","Reischl",3,"Germany","DE",1918,2,"Male",0,0,0,0,1,"Former AG",0,1,0,1973-10-09,1984-01-11,NA,NA,NA,NA,NA,NA,1973-10-09,1984-01-11
37,"J:0306","Ulrich Everling","Ulrich","Everling","Everling","Everling","Everling",3,"Germany","DE",1925,2,"Male",0,1,0,0,0,"Former CJ judge",0,1,0,1980-10-30,1988-10-06,1980-10-30,1988-10-06,NA,NA,NA,NA,NA,NA
38,"J:0307","Kai Bahlmann","Kai","Bahlmann","Bahlmann","Bahlmann","Bahlmann",3,"Germany","DE",1927,2,"Male",0,1,0,0,0,"Former CJ judge",0,1,0,1982-10-07,1988-10-06,1982-10-07,1988-10-06,NA,NA,NA,NA,NA,NA
39,"J:0308","Carl Otto Lenz","Carl Otto","Lenz","Lenz","Lenz","Lenz",3,"Germany","DE",1930,2,"Male",0,0,0,0,1,"Former AG",0,1,0,1984-01-11,1997-10-06,NA,NA,NA,NA,NA,NA,1984-01-11,1997-10-06
40,"J:0309","Manfred Zuleeg","Manfred","Zuleeg","Zuleeg","Zuleeg","Zuleeg",3,"Germany","DE",1935,2,"Male",0,1,0,0,0,"Former CJ judge",0,1,0,1988-10-07,1994-10-06,1988-10-07,1994-10-06,NA,NA,NA,NA,NA,NA
41,"J:0310","Heinrich Kirschner","Heinrich","Kirschner","Kirschner","Kirschner","Kirschner",3,"Germany","DE",1938,2,"Male",0,0,1,0,0,"Former GC judge",0,1,0,1989-09-01,1997-02-06,NA,NA,1989-09-01,1997-02-06,NA,NA,NA,NA
42,"J:0311","Günter Hirsch","Günter","Hirsch","Hirsch","Hirsch","Hirsch",3,"Germany","DE",1943,2,"Male",0,1,0,0,0,"Former CJ judge",0,1,0,1994-10-07,2000-07-14,1994-10-07,2000-07-14,NA,NA,NA,NA,NA,NA
43,"J:0312","Jörg Pirrung","Jörg","Pirrung","Pirrung","Pirrung","Pirrung",3,"Germany","DE",1940,2,"Male",0,0,1,0,0,"Former GC judge",0,1,0,1997-06-11,2007-08-31,NA,NA,1997-06-11,2007-08-31,NA,NA,NA,NA
